A¤o;Mes;Provincia;Cant¢n;N£mero de Personas;Fecha de Corte
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;GUAYAS;NARANJITO;0;30/9/2023
2023;9;AZUAY;SANTA ISABEL;0;30/9/2023
2023;9;LOJA;LOJA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;IMBABURA;OTAVALO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;COTOPAXI;SALCEDO;0;30/9/2023
2023;9;ESMERALDAS;SAN LORENZO;0;30/9/2023
2023;9;ESMERALDAS;SAN LORENZO;0;30/9/2023
2023;9;PICHINCHA;QUITO;1;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;2;30/9/2023
2023;9;PASTAZA;PASTAZA;1;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;2;30/9/2023
2023;9;SUCUMBIOS;NUEVA LOJA;0;30/9/2023
2023;9;MANABI;PICHINCHA;0;30/9/2023
2023;9;MANABI;MANTA;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;ESMERALDAS;SAN LORENZO;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;0;30/9/2023
2023;9;MANABI;ROCAFUERTE;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;PAQUISHA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;TUNGURAHUA;BA¥OS DE AGUA SANTA;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO DE LOS TSACHILAS;0;30/9/2023
2023;9;MANABI;ROCAFUERTE;1;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;3;30/9/2023
2023;9;PASTAZA;PASTAZA;1;30/9/2023
2023;9;AZUAY;CAMILO PONCE ENRIQUEZ;0;30/9/2023
2023;9;NAPO;TENA;0;30/9/2023
2023;9;SANTA ELENA;SALINAS;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;1;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;NAPO;TENA;1;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO DE LOS TSACHILAS;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;MANABI;PEDERNALES;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;2;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;5;30/9/2023
2023;9;NAPO;TENA;1;30/9/2023
2023;9;SUCUMBIOS;SHUSHUFINDI;1;30/9/2023
2023;9;AZUAY;CUENCA;1;30/9/2023
2023;9;NAPO;TENA;1;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;AZUAY;CUENCA;1;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;MANABI;PORTOVIEJO;2;30/9/2023
2023;9;PASTAZA;PASTAZA;1;30/9/2023
2023;9;MANABI;PORTOVIEJO;1;30/9/2023
2023;9;PASTAZA;PASTAZA;1;30/9/2023
2023;9;PASTAZA;PASTAZA;1;30/9/2023
2023;9;CHIMBORAZO;RIOBAMBA;0;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;1;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;6;30/9/2023
2023;9;SUCUMBIOS;CUYABENO;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;SUCUMBIOS;CUYABENO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;1;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;NAPO;TENA;3;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;EL ORO;MACHALA;0;30/9/2023
2023;9;SANTA ELENA;SALINAS;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;NAPO;CARLOS JULIO AROSEMENA TOLA;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;2;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;MANABI;PORTOVIEJO;0;30/9/2023
2023;9;MANABI;MANTA;0;30/9/2023
2023;9;GUAYAS;DURAN;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;CA¥AR;AZOGUES;3;30/9/2023
2023;9;SUCUMBIOS;NUEVA LOJA;6;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SUCUMBIOS;SHUSHUFINDI;1;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;SUCUMBIOS;CUYABENO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;3;30/9/2023
2023;9;MANABI;PORTOVIEJO;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;MORONA SANTIAGO;LOGRO¥O;1;30/9/2023
2023;9;MORONA SANTIAGO;LOGRO¥O;4;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;NAPO;EL CHACO;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;4;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;3;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;1;30/9/2023
2023;9;PICHINCHA;CAYAMBE;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;0;30/9/2023
2023;9;PICHINCHA;RUMI¥AHUI;0;30/9/2023
2023;9;PICHINCHA;RUMI¥AHUI;0;30/9/2023
2023;9;PICHINCHA;QUITO;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;1;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;EL ORO;PI¥AS;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;EL ORO;MACHALA;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;EL ORO;MACHALA;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;NAPO;TENA;6;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;NAPO;TENA;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;EL PANGUI;4;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;ZAMORA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;12;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SUCUMBIOS;SUCUMBIOS;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;CA¥AR;AZOGUES;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;MANABI;MANTA;0;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;MANABI;MANTA;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;PICHINCHA;QUITO;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;CHIMBORAZO;ALAUSI;1;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;0;30/9/2023
2023;9;PICHINCHA;CAYAMBE;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;SUCUMBIOS;SHUSHUFINDI;1;30/9/2023
